Company,Date,Open,High,Low,Close,Volume
NSE 20 SHARE INDEX,2014-06-03,4866.71,4866.71,4866.71,4866.71,67713104
NSE 20 SHARE INDEX,2014-05-30,4881.56,4881.56,4881.56,4881.56,31374300
NSE 20 SHARE INDEX,2014-05-29,4895.13,4895.13,4895.13,4895.13,67871600
NSE 20 SHARE INDEX,2014-05-28,0,0,0,4885.29,35867200
NSE 20 SHARE INDEX,2014-05-27,4888.36,4888.36,4888.36,4888.36,26034000
NSE 20 SHARE INDEX,2014-05-26,4899.92,4899.92,4899.92,4899.92,12524500
NSE 20 SHARE INDEX,2014-05-23,4925.58,4925.58,4925.58,4925.58,10619900
NSE 20 SHARE INDEX,2014-05-22,4915.06,4915.06,4915.06,4915.06,30110700
NSE 20 SHARE INDEX,2014-05-21,4902.62,4902.62,4902.62,4902.62,70095400
NSE 20 SHARE INDEX,2014-05-20,4920.61,4920.61,4920.61,4920.61,31568700
NSE 20 SHARE INDEX,2014-05-19,4939.49,4939.49,4939.49,4939.49,12553700
NSE 20 SHARE INDEX,2014-05-16,4967.57,4967.57,4967.57,4967.57,66652400
NSE 20 SHARE INDEX,2014-05-15,4945.33,4945.33,4945.33,4945.33,59960700
NSE 20 SHARE INDEX,2014-05-14,4940.99,4940.99,4940.99,4940.99,20763000
NSE 20 SHARE INDEX,2014-05-13,4975.39,4975.39,4975.39,4975.39,30166100
NSE 20 SHARE INDEX,2014-05-12,4933.41,4933.41,4933.41,4933.41,14475000
NSE 20 SHARE INDEX,2014-05-09,4963.76,4963.76,4963.76,4963.76,44842600
NSE 20 SHARE INDEX,2014-05-08,4962.06,4962.06,4962.06,4962.06,53591500
NSE 20 SHARE INDEX,2014-05-07,4946.24,4946.24,4946.24,4946.24,26884500
NSE 20 SHARE INDEX,2014-05-06,4942.87,4942.87,4942.87,4942.87,48705600
NSE 20 SHARE INDEX,2014-05-05,4930.63,4930.63,4930.63,4930.63,21459400
NSE 20 SHARE INDEX,2014-05-02,4959.91,4959.91,4959.91,4959.91,23158200
NSE 20 SHARE INDEX,2014-04-30,4948.97,4948.97,4948.97,4948.97,78841296
NSE 20 SHARE INDEX,2014-04-29,4956.52,4956.52,4956.52,4956.52,26530000
NSE 20 SHARE INDEX,2014-04-28,4958.16,4958.16,4958.16,4958.16,26232600
NSE 20 SHARE INDEX,2014-04-25,4956.78,4956.78,4956.78,4956.78,47106900
NSE 20 SHARE INDEX,2014-04-24,4923.71,4923.71,4923.71,4923.71,30378200
NSE 20 SHARE INDEX,2014-04-23,4904.66,4904.66,4904.66,4904.66,40199600
NSE 20 SHARE INDEX,2014-04-22,4904.58,4904.58,4904.58,4904.58,20214900
NSE 20 SHARE INDEX,2014-04-17,4921.13,4921.13,4921.13,4921.13,9561400
NSE 20 SHARE INDEX,2014-04-16,4906.96,4906.96,4906.96,4906.96,26268300
NSE 20 SHARE INDEX,2014-04-15,4910.92,4910.92,4910.92,4910.92,22089700
NSE 20 SHARE INDEX,2014-04-14,4909.1,4909.1,4909.1,4909.1,26780400
NSE 20 SHARE INDEX,2014-04-11,4905.46,4905.46,4905.46,4905.46,137916192
NSE 20 SHARE INDEX,2014-04-10,4878.88,4878.88,4878.88,4878.88,23911800
NSE 20 SHARE INDEX,2014-04-09,4892.7,4892.7,4892.7,4892.7,16588200
NSE 20 SHARE INDEX,2014-04-08,4882.33,4882.33,4882.33,4882.33,26358700
NSE 20 SHARE INDEX,2014-04-07,4869.75,4869.75,4869.75,4869.75,27372500
NSE 20 SHARE INDEX,2014-04-04,4908.75,4908.75,4908.75,4908.75,23707700
NSE 20 SHARE INDEX,2014-04-03,4918.07,4918.07,4918.07,4918.07,20963800
NSE 20 SHARE INDEX,2014-04-02,4933.56,4933.56,4933.56,4933.56,9626300
NSE 20 SHARE INDEX,2014-04-01,4959.96,4959.96,4959.96,4959.96,8085700
NSE 20 SHARE INDEX,2014-03-31,4945.78,4945.78,4945.78,4945.78,18685600
NSE 20 SHARE INDEX,2014-03-28,4972.45,4972.45,4972.45,4972.45,30163800
NSE 20 SHARE INDEX,2014-03-27,4958.62,4958.62,4958.62,4958.62,11165200
NSE 20 SHARE INDEX,2014-03-26,4969.24,4969.24,4969.24,4969.24,24777000
NSE 20 SHARE INDEX,2014-03-25,4974.05,4974.05,4974.05,4974.05,10803200
NSE 20 SHARE INDEX,2014-03-24,4961.02,4961.02,4961.02,4961.02,16361700
NSE 20 SHARE INDEX,2014-03-21,4971.74,4971.74,4971.74,4971.74,38702700
NSE 20 SHARE INDEX,2014-03-20,4940.97,4940.97,4940.97,4940.97,39067300
NSE 20 SHARE INDEX,2014-03-19,4936.8,4936.8,4936.8,4936.8,14811400
NSE 20 SHARE INDEX,2014-03-18,4928.74,4928.74,4928.74,4928.74,23797200
NSE 20 SHARE INDEX,2014-03-17,4922.65,4922.65,4922.65,4922.65,18654400
NSE 20 SHARE INDEX,2014-03-14,4983.83,4983.83,4983.83,4983.83,18839800
NSE 20 SHARE INDEX,2014-03-13,4960.65,4960.65,4960.65,4960.65,21867000
NSE 20 SHARE INDEX,2014-03-12,4935.81,4935.81,4935.81,4935.81,17908400
NSE 20 SHARE INDEX,2014-03-11,4915.84,4915.84,4915.84,4915.84,13676000
NSE 20 SHARE INDEX,2014-03-10,4943.57,4943.57,4943.57,4943.57,11526800
NSE 20 SHARE INDEX,2014-03-07,4906.72,4906.72,4906.72,4906.72,24202500
NSE 20 SHARE INDEX,2014-03-06,4896.4,4896.4,4896.4,4896.4,36921700
NSE 20 SHARE INDEX,2014-03-05,4902.72,4902.72,4902.72,4902.72,31083400
NSE 20 SHARE INDEX,2014-03-04,4906.7,4906.7,4906.7,4906.7,12151300
NSE 20 SHARE INDEX,2014-03-03,4935.01,4935.01,4935.01,4935.01,17328000
NSE 20 SHARE INDEX,2014-02-28,4933.41,4933.41,4933.41,4933.41,36587500
NSE 20 SHARE INDEX,2014-02-27,4915.85,4915.85,4915.85,4915.85,17818100
NSE 20 SHARE INDEX,2014-02-26,4903.48,4903.48,4903.48,4903.48,39432100
NSE 20 SHARE INDEX,2014-02-25,4875.82,4875.82,4875.82,4875.82,26569300
NSE 20 SHARE INDEX,2014-02-24,4848.71,4848.71,4848.71,4848.71,20517100
NSE 20 SHARE INDEX,2014-02-21,4836.25,4836.25,4836.25,4836.25,23488100
