Company,Date,Open,High,Low,Close,Volume
NGSE ALL SHARE INDEX,2013-11-14,37949.11,38050.64,37768.35,37772.86,278728448
NGSE ALL SHARE INDEX,2013-11-13,38293.59,38351.39,37925.22,37949.11,291730272
NGSE ALL SHARE INDEX,2013-11-12,37898.3,38293.59,37866.22,38293.59,357464064
NGSE ALL SHARE INDEX,2013-11-11,37855.66,37902.49,37834.02,37898.3,279471936
NGSE ALL SHARE INDEX,2013-11-08,38125.91,38170.96,37853.18,37870.87,282748800
NGSE ALL SHARE INDEX,2013-11-07,38125.18,38265.79,38056.49,38125.91,511201792
NGSE ALL SHARE INDEX,2013-11-06,38054.23,38125.18,38041.44,38125.18,465818688
NGSE ALL SHARE INDEX,2013-11-05,37937.61,38072.82,37908.53,38054.23,319988736
NGSE ALL SHARE INDEX,2013-11-04,37765.16,37983.24,37748.41,37937.61,254640560
NGSE ALL SHARE INDEX,2013-11-01,37622.74,37792.79,37572.73,37765.82,226687472
NGSE ALL SHARE INDEX,2013-10-31,37373.09,37633,37312.51,37622.74,380813792
NGSE ALL SHARE INDEX,2013-10-30,37506.91,37507.63,37342.49,37373.09,569646848
NGSE ALL SHARE INDEX,2013-10-29,37278.34,37532.51,37271.67,37514.55,294413120
NGSE ALL SHARE INDEX,2013-10-28,37461.94,37467.6,37232.39,37278.34,241397760
NGSE ALL SHARE INDEX,2013-10-25,37611.53,37636.04,37426.96,37461.94,183279280
NGSE ALL SHARE INDEX,2013-10-24,37393.07,37612.86,37369.13,37611.65,329238688
NGSE ALL SHARE INDEX,2013-10-23,37368.1,37458.7,37265.17,37408.56,358983808
NGSE ALL SHARE INDEX,2013-10-22,37263.16,37490.34,37251.58,37368.1,308032192
NGSE ALL SHARE INDEX,2013-10-21,37339.14,37349.74,37201.61,37263.16,295662752
NGSE ALL SHARE INDEX,2013-10-18,37257.35,37528.95,37256.82,37342.73,364736480
NGSE ALL SHARE INDEX,2013-10-17,37106.27,37294.02,37106.27,37257.35,284041344
NGSE ALL SHARE INDEX,2013-10-16,37051.14,37051.14,37051.14,37051.14,0
NGSE ALL SHARE INDEX,2013-10-14,36991.61,37074.67,36835.16,37051.14,246378000
NGSE ALL SHARE INDEX,2013-10-11,36962.63,37002.93,36933.36,36991.61,291824608
NGSE ALL SHARE INDEX,2013-10-10,37259.65,37274.91,36912.21,36962.63,308072800
NGSE ALL SHARE INDEX,2013-10-09,36904.52,37289.42,36870.22,37259.65,288024928
NGSE ALL SHARE INDEX,2013-10-08,36871.93,36909.41,36825.13,36904.52,283714592
NGSE ALL SHARE INDEX,2013-10-07,36925.82,36933.91,36852.29,36857.22,309876512
NGSE ALL SHARE INDEX,2013-10-04,36831.03,36926.39,36745.92,36925.82,536937728
NGSE ALL SHARE INDEX,2013-10-03,36911.88,37284.05,36831.03,36831.03,412359360
NGSE ALL SHARE INDEX,2013-10-02,36585.1,36908.1,0,36908.1,396432256
NGSE ALL SHARE INDEX,2013-09-30,36585.08,36585.08,36585.08,36585.08,279159520
NGSE ALL SHARE INDEX,2013-09-27,36158.04,36438.11,36148.75,36436.98,269887616
NGSE ALL SHARE INDEX,2013-09-26,36143.56,36216.12,36110.47,36158.04,313724768
NGSE ALL SHARE INDEX,2013-09-25,36055.97,36211.12,36055.97,36143.56,294594880
NGSE ALL SHARE INDEX,2013-09-24,36088.64,36089.13,35965.53,36056.02,251310032
NGSE ALL SHARE INDEX,2013-09-23,36188.72,36207.32,36040.88,36088.64,261317968
NGSE ALL SHARE INDEX,2013-09-20,35891.91,36196.02,35862.25,36188.72,300009696
NGSE ALL SHARE INDEX,2013-09-19,35765.71,36004.61,35765.71,35891.91,356017024
NGSE ALL SHARE INDEX,2013-09-18,35851.38,35882.67,35708.57,35765.71,476696576
NGSE ALL SHARE INDEX,2013-09-17,35861.88,35960.98,35696.79,35851.38,184735856
NGSE ALL SHARE INDEX,2013-09-16,36098.07,36099.87,35861.88,35861.88,196576448
NGSE ALL SHARE INDEX,2013-09-13,36244.45,36339.51,36098.07,36098.07,186114944
NGSE ALL SHARE INDEX,2013-09-12,36259.66,36261.59,36093.91,36224.45,323684192
NGSE ALL SHARE INDEX,2013-09-11,36113.13,36260.01,36037.88,36259.66,188459472
NGSE ALL SHARE INDEX,2013-09-10,36367.59,36367.65,36110.53,36113.13,196433504
NGSE ALL SHARE INDEX,2013-09-09,36403.95,36483.22,36358.22,36367.59,176574784
NGSE ALL SHARE INDEX,2013-09-06,36476.3,36502.28,36379.9,36403.95,237497776
NGSE ALL SHARE INDEX,2013-09-05,36215.57,36743.39,36214.53,36476.3,221971488
NGSE ALL SHARE INDEX,2013-09-04,36230.83,36651.3,36121.85,36215.57,281931232
NGSE ALL SHARE INDEX,2013-09-03,36337.15,36407.43,36230.83,36230.83,138955936
NGSE ALL SHARE INDEX,2013-09-02,36248.27,36363.3,36186.85,36337.15,256912496
NGSE ALL SHARE INDEX,2013-08-30,36400.38,36428.19,36188.38,36248.53,190619904
NGSE ALL SHARE INDEX,2013-08-29,36299.3,36407.92,36221.4,36400.38,599812928
NGSE ALL SHARE INDEX,2013-08-28,36480.24,36501.79,36167.7,36299.3,223710496
NGSE ALL SHARE INDEX,2013-08-27,36526.74,36549.29,36469.47,36480.24,317959072
NGSE ALL SHARE INDEX,2013-08-26,36577.28,36669.39,36510.2,36526.74,158040912
NGSE ALL SHARE INDEX,2013-08-23,36563.89,36664.15,36524.08,36577.28,243854368
NGSE ALL SHARE INDEX,2013-08-22,36345.33,36571.62,36345.33,36563.89,252177008
NGSE ALL SHARE INDEX,2013-08-21,36558.5,36584.61,36315.37,36345.33,250472848
NGSE ALL SHARE INDEX,2013-08-20,36800.68,36800.68,36528.13,36558.5,198154976
NGSE ALL SHARE INDEX,2013-08-19,36986.94,37005.5,36596.18,36800.68,173961696
NGSE ALL SHARE INDEX,2013-08-16,37111.64,37221.7,36979.6,36986.94,272148416
NGSE ALL SHARE INDEX,2013-08-15,37103.67,37111.64,36807.73,37111.64,255574800
NGSE ALL SHARE INDEX,2013-08-14,37589.6,37630.54,37058.81,37103.67,438975360
NGSE ALL SHARE INDEX,2013-08-13,37813.43,37841.31,37575.18,37589.6,378593632
NGSE ALL SHARE INDEX,2013-08-12,38038.79,38080.88,37766.18,37813.43,489393952
NGSE ALL SHARE INDEX,2013-08-07,38227.63,38277.47,38034,38038.79,515214688
NGSE ALL SHARE INDEX,2013-08-06,38350.96,38404.5,38178.98,38227.63,428417440
NGSE ALL SHARE INDEX,2013-08-05,38424.34,38522.74,38297.61,38350.96,375499872
NGSE ALL SHARE INDEX,2013-08-02,38292.07,38450.97,38267.83,38424.34,281072192
NGSE ALL SHARE INDEX,2013-08-01,37914.33,38292.36,37910.27,38292.07,239509328
NGSE ALL SHARE INDEX,2013-07-31,37806.45,37931.17,37806.45,37914.33,330174496
NGSE ALL SHARE INDEX,2013-07-30,37562.5,37910.57,37562.08,37806.45,315645824
NGSE ALL SHARE INDEX,2013-07-29,37145.65,37564.09,37145.65,37562.5,197747344
NGSE ALL SHARE INDEX,2013-07-26,37286.5,37322.26,37127.86,37145.65,273289984
NGSE ALL SHARE INDEX,2013-07-25,37554.73,37604.33,37239.03,37286.5,312062688
NGSE ALL SHARE INDEX,2013-07-24,37885.05,37898.34,37412.1,37554.73,423759424
NGSE ALL SHARE INDEX,2013-07-23,38090.75,38142.25,37833.56,37885.58,1176543872
NGSE ALL SHARE INDEX,2013-07-22,38328.29,38339.37,38050.11,38090.75,314083808
NGSE ALL SHARE INDEX,2013-07-19,38334.54,38391.23,38296.68,38328.29,390962880
NGSE ALL SHARE INDEX,2013-07-18,37975.34,38337.76,37975.34,38334.54,243887712
NGSE ALL SHARE INDEX,2013-07-17,37885.66,38004.31,37857.34,37975.34,204811200
NGSE ALL SHARE INDEX,2013-07-16,37720.32,37885.87,37701.49,37885.66,856438080
NGSE ALL SHARE INDEX,2013-07-15,37378.17,37720.32,37377.67,37720.32,189455728
NGSE ALL SHARE INDEX,2013-07-12,37327.81,37460.24,37327.81,37382.49,245956752
NGSE ALL SHARE INDEX,2013-07-11,37128.4,37337.6,37128.4,37327.67,737320320
NGSE ALL SHARE INDEX,2013-07-10,37014.14,37187.25,37014.04,37128.4,213243936
